,0
15_min_incr_cos,-5.006526907458862e-05
15_min_incr_sin,5.4462622377150035e-05
ID_QH_VWAP_lag6,0.002165550864948633
hour_incr_cos,0.03438192682103729
hour_incr_sin,0.0046396415609821625
imb_volume_jump_lag6,0.001992536864759468
imb_volume_lag6,0.6665533556632055
load_error_lag6,0.17819781788966582
net_reserve_lag6,-0.0007562900645767163
reserve_ramping_lag6,-0.0003573547270429866
solar_error_lag6,0.005973195379691938
total_reserve_lag6,0.0011501149745232746
vwap_jump_lag6,0.001965281866256047
weekday_incr_cos,1.3934926420620833e-05
weekday_incr_sin,0.0008866474752509497
wind_error_lag6,0.10318924315157557
